#
# In-degree Distribution of Largest SCC of the Wikipedia Network. G(1028864, 35699906). 110509 (0.1074) nodes with in-deg > avg deg (69.4), 45061 (0.0438) with >2*avg.deg (Sun Dec  7 23:24:46 2014)
#
# In-degree	Count
1	174961
2	116085
3	78970
4	54151
5	39633
6	30774
7	25868
8	21387
9	19109
10	17341
11	15754
12	15240
13	13781
14	12808
15	11703
16	10971
17	11019
18	10356
19	10335
20	10208
21	9279
22	9110
23	8670
24	8390
25	8123
26	7831
27	7339
28	6914
29	6626
30	6611
31	6542
32	5838
33	5606
34	6304
35	5899
36	5103
37	4881
38	4549
39	4654
40	4427
41	4313
42	4376
43	4634
44	4044
45	3841
46	3872
47	3641
48	3930
49	3166
50	3199
51	2955
52	2854
53	2928
54	2738
55	2637
56	2758
57	2459
58	2466
59	2462
60	2372
61	2436
62	2239
63	2084
64	2324
65	2592
66	2253
67	2104
68	1712
69	1816
70	1836
71	1862
72	1553
73	1715
74	1561
75	1612
76	1501
77	1529
78	1611
79	1831
80	1533
81	1408
82	1390
83	1362
84	1270
85	1183
86	1188
87	1283
88	1276
89	1133
90	1155
91	1161
92	1274
93	1009
94	1501
95	942
96	1129
97	921
98	1083
99	900
100	820
101	881
102	1057
103	908
104	696
105	706
106	741
107	680
108	873
109	953
110	835
111	798
112	632
113	790
114	584
115	1097
116	975
117	579
118	693
119	494
120	414
121	394
122	473
123	583
124	767
125	578
126	492
127	540
128	527
129	509
130	372
131	395
132	381
133	400
134	384
135	593
136	378
137	342
138	422
139	684
140	516
141	282
142	222
143	243
144	253
145	471
146	323
147	336
148	365
149	489
150	355
151	265
152	369
153	229
154	496
155	246
156	270
157	238
158	449
159	240
160	287
161	245
162	212
163	162
164	196
165	381
166	314
167	376
168	326
169	411
170	224
171	325
172	205
173	242
174	257
175	377
176	360
177	236
178	263
179	557
180	227
181	209
182	378
183	168
184	246
185	165
186	160
187	172
188	185
189	295
190	192
191	154
192	116
193	127
194	124
195	145
196	468
197	152
198	130
199	216
200	351
201	340
202	152
203	292
204	276
205	111
206	237
207	106
208	321
209	119
210	303
211	531
212	151
213	102
214	223
215	128
216	129
217	124
218	102
219	190
220	168
221	329
222	104
223	75
224	97
225	87
226	117
227	213
228	121
229	90
230	106
231	78
232	84
233	90
234	484
235	139
236	300
237	95
238	85
239	78
240	75
241	299
242	93
243	56
244	172
245	102
246	69
247	78
248	62
249	75
250	83
251	71
252	286
253	71
254	73
255	60
256	64
257	66
258	76
259	303
260	280
261	87
262	69
263	56
264	73
265	83
266	61
267	315
268	78
269	55
270	57
271	73
272	61
273	56
274	43
275	52
276	56
277	46
278	49
279	52
280	63
281	50
282	52
283	141
284	136
285	91
286	69
287	72
288	42
289	71
290	43
291	53
292	58
293	316
294	58
295	50
296	40
297	35
298	46
299	44
300	42
301	37
302	37
303	44
304	45
305	313
306	55
307	42
308	34
309	32
310	35
311	45
312	41
313	18
314	26
315	33
316	30
317	153
318	53
319	44
320	45
321	30
322	31
323	26
324	322
325	46
326	55
327	336
328	50
329	36
330	225
331	142
332	29
333	27
334	25
335	24
336	24
337	30
338	35
339	23
340	29
341	39
342	27
343	29
344	19
345	55
346	35
347	361
348	67
349	369
350	73
351	38
352	32
353	26
354	32
355	37
356	37
357	32
358	359
359	60
360	33
361	38
362	25
363	33
364	21
365	16
366	21
367	32
368	34
369	24
370	28
371	30
372	22
373	263
374	51
375	31
376	359
377	58
378	26
379	26
380	18
381	17
382	393
383	19
384	16
385	15
386	16
387	22
388	19
389	20
390	18
391	19
392	24
393	15
