#
# Out-degree Distribution of Largest SCC of the Wikipedia Network. G(1028864, 35699906). 124456 (0.1210) nodes with out-deg > avg deg (69.4), 44911 (0.0437) with >2*avg.deg (Sun Dec  7 23:25:40 2014)
#
# Out-degree	Count
1	17854
2	30736
3	33831
4	42187
5	46265
6	47429
7	46097
8	43212
9	39016
10	35324
11	32546
12	29776
13	27019
14	24678
15	22360
16	20732
17	19109
18	17687
19	16333
20	15236
21	14418
22	13579
23	12605
24	12098
25	11319
26	11127
27	10368
28	9886
29	9715
30	9083
31	8594
32	8327
33	8067
34	7750
35	7089
36	7058
37	7027
38	6479
39	6159
40	6251
41	5701
42	5601
43	5459
44	5120
45	4958
46	5214
47	4890
48	4491
49	4411
50	4169
51	4023
52	3910
53	3888
54	3792
55	3475
56	3390
57	3324
58	3311
59	3198
60	3171
61	2995
62	2782
63	3087
64	2814
65	2736
66	2527
67	2741
68	2441
69	2363
70	2349
71	2241
72	2300
73	2214
74	2010
75	1867
76	1733
77	1936
78	1805
79	1815
80	1791
81	1876
82	1741
83	1768
84	1651
85	1588
86	1590
87	1529
88	1397
89	1436
90	1509
91	1434
92	1258
93	1410
94	1282
95	1342
96	1102
97	1123
98	1163
99	1027
100	1275
101	1280
102	1222
103	964
104	963
105	1040
106	872
107	952
108	1032
109	950
110	1006
111	1045
112	855
113	937
114	787
115	970
116	663
117	665
118	849
119	649
120	650
121	652
122	685
123	627
124	584
125	890
126	727
127	687
128	563
129	504
130	619
131	461
132	490
133	498
134	485
135	486
136	459
137	556
138	659
139	506
140	595
141	594
142	513
143	560
144	412
145	379
146	512
147	587
148	479
149	399
150	489
151	360
152	346
153	391
154	377
155	319
156	361
157	608
158	287
159	414
160	415
161	345
162	273
163	338
164	346
165	381
166	388
167	329
168	341
169	441
170	313
171	288
172	442
173	524
174	284
175	285
176	219
177	452
178	424
179	295
180	272
181	582
182	210
183	336
184	262
185	417
186	249
187	193
188	180
189	177
190	167
191	146
192	184
193	294
194	191
195	178
196	159
197	205
198	431
199	168
200	257
201	188
202	124
203	302
204	132
205	289
206	252
207	178
208	111
209	122
210	505
211	111
212	210
213	301
214	204
215	202
216	164
217	127
218	246
219	112
220	101
221	85
222	141
223	187
224	301
225	116
226	86
227	148
228	111
229	106
230	270
231	162
232	140
233	123
234	88
235	88
236	277
237	89
238	203
239	171
240	75
241	68
242	279
243	65
244	78
245	56
246	58
247	66
248	55
249	50
250	44
251	60
252	50
253	32
254	52
255	292
256	63
257	41
258	48
259	56
260	64
261	270
262	164
263	146
264	66
265	35
266	49
267	42
268	52
269	53
270	295
271	58
272	44
273	68
274	44
275	43
276	50
277	50
278	56
279	50
280	60
281	39
282	45
283	34
284	51
285	221
286	57
287	67
288	57
289	73
290	57
291	66
292	71
293	60
294	295
295	55
296	44
297	42
298	33
299	36
300	32
301	27
302	14
303	29
304	28
305	27
306	23
307	309
308	21
309	26
310	47
311	38
312	26
313	39
314	32
315	24
316	32
317	55
318	118
319	65
320	45
321	26
322	27
323	21
324	20
325	22
326	250
327	103
328	23
329	235
330	63
331	35
332	299
333	135
334	20
335	21
336	18
337	24
338	23
339	26
340	19
341	50
342	18
343	21
344	17
345	76
346	20
347	17
348	17
349	26
350	353
351	338
352	99
353	50
354	66
355	35
356	26
357	65
358	31
359	30
360	18
361	233
362	137
363	32
364	32
365	34
366	216
367	61
368	41
369	24
370	59
371	50
372	27
373	27
374	19
375	14
376	19
377	10
378	7
379	11
380	363
381	26
382	11
383	12
384	389
385	12
386	6
387	6
388	6
389	7
390	6
391	64
392	15
393	12
394	6
395	5
396	7
397	3
398	8
399	6
400	5
401	4
402	10
403	13
404	7
405	8
406	5
407	9
408	10
409	6
410	6
411	1
412	7
413	6
414	8
415	6
416	9
417	7
418	5
419	1
420	3
421	3
422	2
424	6
425	1
426	3
427	2
428	3
429	3
430	1
431	3
432	2
433	4
434	2
435	4
436	5
437	3
438	1
439	4
440	4
441	3
442	3
443	76
444	367
445	459
446	367
447	97
448	23
449	11
450	8
451	6
452	4
453	4
454	4
455	3
456	4
457	194
458	225
459	31
460	6
461	7
462	1
463	3
464	4
465	3
467	5
468	4
469	1
470	425
471	34
472	6
473	2
474	3
475	4
476	2
477	1
478	3
479	2
480	1
481	5
482	3
483	1
484	2
485	1
486	2
487	5
489	1
490	3
491	6
492	10
493	6
494	2
495	88
496	11
497	1
498	3
499	18
500	4
501	1
502	4
503	2
504	1
505	1
506	1
507	5
508	2
509	2
511	3
512	4
513	2
515	2
516	1
517	1
518	1
519	4
521	17
522	21
523	273
524	138
525	22
526	20
527	5
528	10
529	8
530	1
531	3
532	2
534	4
535	4
536	1
537	2
538	26
539	6
540	4
541	499
542	52
543	5
544	11
545	7
546	8
547	5
548	4
549	1
550	2
551	5
552	1
553	2
554	2
555	2
556	2
557	3
558	1
559	1
561	1
562	1
563	2
566	1
567	1
568	1
569	1
571	1
572	1
575	1
576	28
577	4
578	2
579	1
580	486
581	45
582	24
583	14
584	25
585	31
586	16
587	10
588	3
589	1
590	7
591	2
592	1
593	3
595	2
596	2
598	2
601	3
602	37
603	3
604	3
605	3
606	1
608	1
610	1
611	2
616	1
620	1
621	1
624	1
629	1
630	1
631	1
632	1
635	1
636	18
638	3
640	1
641	1
643	5
644	8
646	2
647	5
648	1
653	1
655	1
656	1
657	1
658	1
667	633
668	18
669	3
670	3
672	1
673	1
674	2
676	1
677	5
680	1
684	1
687	1
688	1
689	1
690	1
699	1
701	1
704	14
705	9
706	1
707	2
708	1
710	9
711	5
712	3
713	1
714	1
716	1
