#
# In-degree Distribution of 60k-node Wikipedia subgraph. G(63887, 3250827). 7869 (0.1232) nodes with in-deg > avg deg (101.8), 2056 (0.0322) with >2*avg.deg (Tue Dec  9 19:19:45 2014)
#
# In-degree	Count
1	3504
2	3789
3	3217
4	2518
5	2115
6	1849
7	1656
8	1401
9	1356
10	1184
11	1117
12	1075
13	961
14	948
15	841
16	890
17	800
18	848
19	742
20	691
21	753
22	703
23	685
24	666
25	660
26	555
27	556
28	478
29	452
30	463
31	466
32	483
33	501
34	469
35	488
36	485
37	488
38	411
39	473
40	386
41	345
42	392
43	413
44	452
45	373
46	420
47	387
48	322
49	362
50	336
51	279
52	278
53	325
54	349
55	313
56	286
57	273
58	310
59	297
60	309
61	263
62	233
63	248
64	194
65	182
66	241
67	243
68	219
69	190
70	227
71	171
72	183
73	171
74	187
75	152
76	156
77	160
78	162
79	139
80	191
81	163
82	198
83	149
84	142
85	195
86	153
87	134
88	206
89	175
90	190
91	131
92	188
93	130
94	125
95	153
96	133
97	88
98	149
99	99
100	166
101	95
102	71
103	80
104	104
105	93
106	101
107	82
108	195
109	123
110	112
111	179
112	93
113	66
114	78
115	132
116	95
117	122
118	78
119	58
120	98
121	94
122	67
123	50
124	48
125	50
126	48
127	55
128	67
129	70
130	72
131	76
132	79
133	70
134	57
135	56
136	48
137	36
138	40
139	42
140	85
141	76
142	114
143	76
144	61
145	67
146	93
147	80
148	80
149	107
150	76
151	95
152	59
153	41
154	62
155	91
156	85
157	83
158	44
159	41
160	42
161	39
162	31
163	30
164	22
165	44
166	40
167	44
168	71
169	77
170	40
171	37
172	30
173	34
174	31
175	20
176	20
177	20
178	8
179	18
180	15
181	20
182	20
183	11
184	18
185	14
186	14
187	18
188	14
189	12
190	9
191	20
192	18
193	17
194	18
195	12
196	13
197	15
198	14
199	18
200	15
201	16
202	137
203	36
204	21
205	16
206	24
207	11
208	18
209	16
210	9
211	12
212	6
213	11
214	10
215	14
216	6
217	6
218	11
219	11
220	7
221	19
222	9
223	18
224	13
225	13
226	16
227	12
228	23
229	14
230	15
231	8
232	15
233	12
234	17
235	14
236	9
237	10
238	7
239	11
240	63
241	53
242	59
243	32
244	18
245	19
246	10
247	12
248	10
249	13
250	13
251	7
252	13
253	5
254	12
255	7
256	13
257	9
258	5
259	7
260	6
261	6
262	5
263	6
264	7
265	11
266	9
267	12
268	2
269	5
270	5
271	5
272	5
273	10
274	6
275	7
276	9
277	5
278	9
279	8
280	15
281	5
282	11
283	3
284	6
285	6
286	5
287	5
288	5
289	4
290	8
291	5
292	2
293	2
294	9
295	3
296	4
297	6
298	5
299	2
300	2
301	4
302	4
304	15
305	30
306	28
307	13
308	9
309	10
310	1
311	6
312	4
313	2
314	6
315	4
316	1
317	1
318	6
319	6
321	3
322	7
323	1
324	6
325	3
326	4
327	3
328	4
329	3
330	4
331	7
332	2
333	8
334	5
335	6
336	3
337	3
338	6
339	4
341	3
342	3
343	5
344	2
345	4
346	5
347	2
348	3
349	3
350	1
351	4
352	2
353	5
355	6
356	1
357	5
358	2
359	2
360	3
361	4
362	5
363	4
364	4
365	2
366	3
367	3
368	2
369	3
371	2
372	3
373	5
374	5
375	1
376	2
377	1
378	4
379	3
380	4
381	1
382	1
383	3
384	3
385	2
387	5
388	3
389	3
390	3
391	1
392	1
393	3
394	4
395	4
396	6
397	4
398	6
399	4
400	4
401	2
402	1
403	2
404	1
405	2
406	2
407	5
408	3
409	3
410	2
411	1
412	5
413	2
414	4
415	2
418	2
419	4
420	2
421	3
422	2
423	1
424	1
425	1
426	2
427	6
428	2
429	5
430	1
431	4
432	1
434	2
435	1
436	2
437	4
440	2
441	1
442	4
443	2
445	2
447	2
448	2
449	2
450	2
451	2
452	2
453	1
454	2
455	4
459	2
462	2
463	1
465	3
466	1
470	1
472	1
473	1
474	2
475	2
476	4
477	2
479	2
480	1
481	1
482	2
483	5
485	1
488	1
489	1
493	4
494	1
495	4
497	1
499	1
501	1
503	1
504	2
505	2
507	3
508	1
509	1
511	1
513	1
514	2
515	3
516	1
517	1
518	2
521	2
522	2
523	1
524	1
525	2
526	2
527	1
529	2
530	1
532	1
533	1
536	1
537	1
540	3
543	1
548	1
549	1
556	1
557	2
561	1
564	3
568	1
570	1
574	1
577	1
580	2
581	1
582	1
583	2
584	1
586	3
589	2
590	1
592	1
593	1
594	1
597	2
600	2
602	1
604	1
606	1
607	3
608	1
610	3
611	1
612	2
614	2
615	1
616	1
617	2
618	1
619	1
622	1
623	1
626	1
627	1
628	1
633	1
636	1
637	2
639	3
641	1
642	2
643	1
644	1
645	1
648	1
650	1
651	2
652	1
653	1
655	3
656	1
658	1
661	1
663	1
665	1
666	2
667	1
670	1
673	1
675	1
681	1
684	2
685	1
688	1
689	1
691	2
692	1
693	1
697	1
698	1
699	1
700	2
704	3
706	1
709	2
714	1
719	1
720	2
724	1
727	2
728	1
729	1
736	1
737	1
740	2
744	1
746	1
748	1
750	1
751	1
767	1
769	1
771	1
777	3
783	1
787	2
793	1
795	1
796	1
803	1
805	1
810	1
812	1
816	1
820	1
829	1
831	1
833	1
838	2
840	1
847	2
848	1
849	1
850	1
852	1
853	1
854	1
855	1
857	1
859	1
860	1
862	1
863	1
865	1
867	1
871	1
879	2
884	1
886	1
889	1
892	1
897	1
899	1
900	1
903	1
904	1
906	1
911	1
913	3
917	1
918	1
920	1
927	1
934	1
936	1
937	1
941	1
944	1
947	1
954	1
955	1
959	1
967	1
969	1
972	1
977	1
979	2
980	1
986	1
987	1
989	1
990	1
998	1
1001	1
1006	1
1007	1
1010	1
1029	1
1032	1
1035	1
1047	1
1066	1
1068	1
1071	1
1085	1
1086	2
1090	1
1092	1
1093	1
1112	1
1115	1
1119	1
1121	1
1123	1
1130	1
1142	1
1171	1
1187	2
1188	1
1198	2
1204	1
1217	2
1240	1
1248	1
1250	1
1251	1
1254	1
1258	1
1259	1
1270	1
1283	1
1294	1
1300	1
1307	1
1312	1
1322	1
1326	1
1333	1
1346	1
1392	1
1404	1
1406	1
1408	1
1438	1
1464	1
1469	1
1493	1
1495	1
1507	1
1515	1
1531	1
1572	1
1575	1
1591	1
1605	1
1647	1
1648	1
1677	1
1687	1
1689	1
1697	1
1698	1
1714	1
1740	1
1774	1
1797	1
1804	1
1810	1
1842	1
1851	1
1860	1
1888	1
1959	1
1983	1
2014	1
2049	1
2086	1
2095	1
2102	1
2170	1
2212	1
2213	1
2226	1
2244	1
2250	1
2331	1
2375	1
2414	1
2555	1
2568	1
2604	1
2697	1
2850	1
2946	1
2972	1
3010	1
3137	1
3308	1
3333	1
3390	1
3903	1
3911	1
4073	1
4334	1
4367	1
4461	1
4515	1
4621	1
4804	1
6278	1
6390	1
6989	1
7261	1
7683	1
8130	1
10773	1
17297	1
20247	1
30374	1
