#
# Out-degree Distribution of 60k-node Wikipedia subgraph. G(63887, 3250827). 8975 (0.1405) nodes with out-deg > avg deg (101.8), 1598 (0.0250) with >2*avg.deg (Tue Dec  9 19:19:56 2014)
#
# Out-degree	Count
0	79
1	420
2	575
3	780
4	1074
5	1226
6	1352
7	1480
8	1446
9	1501
10	1435
11	1390
12	1362
13	1351
14	1226
15	1243
16	1150
17	1077
18	1071
19	1021
20	998
21	943
22	924
23	992
24	849
25	852
26	833
27	767
28	788
29	732
30	675
31	665
32	641
33	596
34	643
35	650
36	632
37	565
38	583
39	571
40	547
41	531
42	478
43	486
44	523
45	430
46	462
47	447
48	430
49	422
50	449
51	384
52	392
53	397
54	384
55	387
56	310
57	349
58	316
59	340
60	376
61	324
62	340
63	368
64	358
65	318
66	273
67	258
68	246
69	236
70	230
71	256
72	230
73	213
74	216
75	203
76	249
77	198
78	218
79	188
80	185
81	185
82	158
83	196
84	194
85	183
86	207
87	238
88	204
89	197
90	201
91	190
92	215
93	202
94	192
95	203
96	172
97	123
98	141
99	132
100	149
101	125
102	146
103	150
104	131
105	109
106	158
107	126
108	140
109	133
110	145
111	214
112	150
113	153
114	174
115	170
116	124
117	134
118	122
119	112
120	105
121	107
122	94
123	75
124	71
125	66
126	75
127	93
128	82
129	69
130	74
131	74
132	69
133	83
134	68
135	92
136	88
137	84
138	105
139	82
140	71
141	79
142	83
143	88
144	67
145	83
146	71
147	72
148	77
149	83
150	98
151	86
152	89
153	81
154	77
155	64
156	65
157	71
158	46
159	27
160	51
161	53
162	38
163	39
164	47
165	36
166	37
167	32
168	39
169	53
170	28
171	44
172	37
173	33
174	40
175	41
176	47
177	62
178	40
179	62
180	60
181	41
182	36
183	31
184	44
185	42
186	57
187	51
188	49
189	42
190	35
191	32
192	38
193	21
194	21
195	24
196	25
197	23
198	25
199	21
200	26
201	14
202	18
203	17
204	18
205	17
206	16
207	14
208	12
209	20
210	12
211	17
212	12
213	13
214	13
215	15
216	16
217	15
218	14
219	11
220	12
221	12
222	16
223	9
224	18
225	13
226	15
227	91
228	40
229	26
230	42
231	9
232	13
233	12
234	6
235	11
236	6
237	10
238	12
239	6
240	8
241	9
242	8
243	9
244	7
245	6
246	5
247	6
248	8
249	9
250	7
251	7
252	5
253	6
254	13
255	9
256	9
257	11
258	12
259	4
260	8
261	6
262	8
263	11
264	6
265	3
266	5
267	8
268	5
269	53
270	32
271	20
272	27
273	19
274	26
275	11
276	6
277	12
278	7
279	12
280	11
281	7
282	3
283	15
284	8
285	3
286	8
287	7
288	5
289	3
290	3
291	9
292	27
293	5
294	6
295	7
296	8
297	4
298	5
299	4
300	3
301	3
302	4
303	3
304	3
305	1
306	2
307	5
308	3
309	5
310	5
311	2
312	3
313	2
314	3
315	2
316	1
317	3
318	1
319	1
320	4
321	5
322	4
323	4
324	3
325	4
326	4
327	4
328	5
329	3
330	3
331	7
332	5
333	4
334	3
335	6
336	7
337	1
338	7
339	7
340	3
341	2
342	4
343	7
344	5
345	5
346	1
347	1
348	9
349	3
350	2
351	4
352	3
353	5
354	2
355	1
356	4
357	3
358	7
359	4
361	1
362	3
363	4
364	6
365	3
366	3
367	1
368	5
369	2
370	3
371	1
372	4
373	4
375	2
376	1
377	2
378	1
379	1
380	1
381	1
382	2
383	1
386	1
387	1
388	1
390	4
391	2
392	1
393	1
394	3
396	1
398	4
399	1
400	2
402	1
403	1
404	2
405	2
406	1
407	1
409	1
410	5
412	2
414	3
415	1
416	1
418	2
420	1
421	1
424	1
426	1
428	1
429	1
430	1
432	1
433	1
435	1
437	1
439	1
440	1
441	1
443	3
445	1
446	1
447	1
453	2
456	1
461	2
462	1
471	1
475	1
476	1
478	1
479	1
483	1
484	1
485	1
491	1
496	1
497	1
498	2
499	1
502	1
505	1
507	1
508	1
509	1
511	1
515	1
518	1
519	1
521	1
524	1
525	2
526	2
529	1
531	1
546	2
548	1
551	1
555	1
556	1
557	1
580	1
582	1
584	1
596	1
602	1
624	1
641	1
647	1
655	1
860	1
904	1
992	1
